timestamp,open,high,low,close,volume,turnover,log_return,log_return_3,log_return_5,log_return_15,close_open_log_return,high_low_log_range,volume_log_change,volume_ma_ratio,fracdiff_close,fracdiff_close_5,ema_20,ema_50,ema_200,ema_20_log_distance,ema_50_log_distance,ema_200_log_distance,ema_20_return,ema_50_return,ema_200_return,rsi,macd,macd_signal,macd_hist,macd_return,macd_signal_return,macd_hist_return,bb_width,atr,atr_pct,volume_ma,sentiment_score,hour,minute,risk_level_encoded,ml_probability,funding_rate,predicted_funding_rate,premium_index,premium_basis_pct,cvd,cvd_ratio,oi,oi_change_pct,liquidation_imbalance,liquidation_notional,liquidation_reversal_signal,label,risk_level
2026-05-14 23:50:00,81048.0,81086.3,81018.0,81034.0,187.703,15213396.8491,,,,,-0.00017275206419977405,0.000842667394283699,,,,,81034.0,81034.0,81034.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,,,0.0,23,50,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,high
2026-05-14 23:45:00,81182.6,81182.6,81024.8,81048.0,262.172,21255076.3891,0.00017275206419853362,,,,-0.0016593667395063104,0.0019456578402764688,0.3341398505001161,,,,81035.33333333334,81034.54901960785,81034.13930348259,0.00015629948665640825,0.0001659774734452668,0.00017103313818545018,0.00017275206419853362,0.00017275206419853362,0.00017275206419853362,,1.116809116792865,0.22336182335857302,0.8934472934342921,0.0,0.0,0.0,,,,,0.0,23,45,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,high
2026-05-14 23:40:00,81235.4,81235.4,81168.1,81182.6,39.988,3247220.5033,0.001659366739506396,,,,-0.0006501742646748985,0.0008287999193663677,-1.880421367811437,,,,81049.35873015874,81040.35494040755,81035.61652434347,0.0016427456331964407,0.0017537620869525483,0.001812186943583427,0.00031433441422785383,0.000231050678916489,0.00018754425002249245,,12.716396782474476,2.721968815181754,9.994427967292722,0.0001185903444690033,2.3718068893800664e-05,9.487227557520264e-05,,,,,0.0,23,40,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,high
2026-05-14 23:35:00,81287.8,81301.8,81235.4,81235.4,52.56,4272249.1429,0.0006501742646758402,0.00248229306838077,,,-0.0006448310372390406,0.0008170437745186562,0.2733759650714207,,,,81067.0769463341,81048.00376627392,81037.60441962363,0.0020745465742653124,0.002309664337838413,0.002437860101707656,0.00034631916188956685,0.0002474868979658753,0.00019214753375038646,,25.871442426170688,7.351863537379542,18.519578888791145,0.00012964616798992733,4.4903688713025995e-05,8.474247927690134e-05,,,,,0.0,23,35,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,high
2026-05-14 23:30:00,81326.3,81331.5,81285.4,81287.8,35.675,2900770.8223,0.0006448310372384469,0.002954372041420683,,,-0.00047351368324590945,0.0005669767562284724,-0.3875052108134547,,,,81088.09818954038,81057.40754014553,81040.09392788609,0.0024603892675507666,0.002838632811346997,0.0030520175952748474,0.00037474886430374587,0.00026306902107460365,0.00019665184721792938,,40.06332784585538,13.89415639907471,26.169171446780673,0.00013640444841171473,6.320384065276375e-05,7.320060775895098e-05,,,,,0.0,23,30,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,high
2026-05-14 23:25:00,81258.6,81349.9,81242.4,81326.3,97.715,7943788.484,0.0004735136832465514,0.0017685189851608385,0.003600637788865768,,0.0008327957136582254,0.0013223260346775611,1.0076049151191397,,,,81110.78407625081,81067.95234249276,81042.94174949916,0.002654483622150039,0.0031822583967660023,0.0034904513653017943,0.000384155037536394,0.000271321752924484,0.00019940669135751768,,53.79698932457541,21.874722984174852,31.922266340400554,0.000126478589182574,7.58587903587258e-05,5.06197988238482e-05,,,,,0.0,23,25,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,high
2026-05-14 23:20:00,81199.6,81264.6,81148.2,81258.6,101.882,8272780.3255,-0.0008327957136593511,0.0002855490068256472,0.0025950900110078834,,0.0007263407152594727,0.001433384806241348,0.04176020237489109,,,,81124.86178327455,81075.42872121854,81045.08760273797,0.0016481938219676806,0.0022573268916108447,0.0026312113167996642,0.0002682549659939421,0.00022802302874472572,0.00018913602066083243,,58.543339607611415,29.208446308862168,29.334893298749247,1.3053549985681521e-05,6.329774228411696e-05,-5.024419229843544e-05,,,,,0.0,23,20,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,high
2026-05-14 23:15:00,81218.1,81232.2,81199.2,81199.6,90.269,7331353.6651,-0.0007263407152588996,-0.0010856227456716994,0.00020938255624258773,,-0.00022780768450733957,0.0004063253835652201,-0.12102117948570612,,,,81131.97970867697,81080.29818313156,81046.62503952665,0.0008340575727352473,0.0014709475027689933,0.0018859166652056558,0.00017353156777938578,0.00019059699956811298,0.00018002679940789978,,56.88827684237913,34.74441241556556,22.143864426813565,-6.746884324473308e-05,3.714442517834695e-05,-0.00010461326842308004,,,,,0.0,23,15,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,high
2026-05-14 23:10:00,81166.5,81218.2,81166.5,81218.1,110.315,8957427.7082,0.00022780768450658684,-0.001331328744411664,-0.0002129840239266656,,0.0006355282672956803,0.0006367595191772887,0.2005458083891103,,,,81140.18164118392,81085.70217594992,81048.33125803883,0.0009607352327432039,0.001632137336793349,0.002092692266629115,0.00017870072175340493,0.0001920562421147198,0.00018050223110042404,,56.41905927027983,39.07934178650842,17.33971748377141,-5.367291040128997e-05,1.898095806241957e-05,-7.265386846370954e-05,,,,,0.0,23,10,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,high
2026-05-14 23:05:00,81284.0,81293.1,81134.5,81166.5,150.525,12224040.8219,-0.0006355282672956264,-0.0011340612980479392,-0.001493343328460739,,-0.001446594753360481,0.0019528706993694196,0.31078927359017605,,,,81142.68815154737,81088.87071806953,81049.50706641655,0.00029423487350044297,0.0009575263608887497,0.0014426648550607268,0.00010115510374873529,0.0001596019476280396,0.00017238252464872204,,51.29224710672861,41.521922850552464,9.770324256176146,-0.00011112257842667445,-7.039749235399233e-06,-0.00010408282919127521,,,,,0.0,23,5,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,high
