fold,auc,accuracy,profit_factor,max_drawdown,sharpe
0,0.5089430894308944,0.5066026410564226,1.02676399026764,-29.0,0.20964563452307802
1,0.5296420130281893,0.5186074429771909,1.0773067331670823,-22.0,0.59117751665033
2,0.4936878303214937,0.49939975990396157,0.9976019184652278,-20.0,-0.019057045984627582
3,0.48902955045945606,0.4897959183673469,0.96,-50.0,-0.324037034920393
4,0.5235454189055185,0.5306122448979592,1.1304347826086956,-25.0,0.9737353516829185
