timestamp,trade_id,symbol,side,entry_price,exit_price,qty,pnl,pnl_pct,decision_source,risk_level,take_profit,stop_loss,sentiment_str,sentiment_score,ml_probability,ema_20,ema_50,ema_200,rsi,macd,macd_signal,macd_hist,bb_width,atr,volume,volume_ma,hour,minute
2026-03-14 02:06:32.064372,d7f05759-a823-4bcc-88fd-98f509e11e21,BTCUSDT,Sell,71023.3,70937.7,0.001,0.01,0.121,misto,alto,70381.67,71501.03,neutral,0.0,0.8017117764285226,72734.35829902012,72584.49534002581,71841.13929842533,38.08692931143825,-119.40082575882843,-15.758590406687654,-103.64223535214077,1411.214129604894,319.8172777883139,147.344,837.3780499999999,12,25
2026-03-14 02:33:21.314110,cd8de142-f694-41af-b929-1cf7dceb12a3,BTCUSDT,Sell,71065.8,70979.0,0.001,0.02,0.122,misto,alto,70362.54,71593.24,neutral,0.0,0.6985314410228337,72860.63405756517,72611.29256657205,71818.66389837369,35.83344138263023,-50.932529150668415,68.09433703051782,-119.02686618118624,1309.5810725557385,351.6293125285816,143.47,854.03655,12,40
2026-03-14 04:57:39.739843,ee77e9ab-2152-40c7-b82e-eba6ed7462f2,BTCUSDT,Buy,70494.2,70572.6,0.001,0.01,0.111,misto,medio,71098.67,70039.45,neutral,0.0,0.6118359231228647,72077.68648952592,71719.3718816131,71271.667752088,69.51212161521863,279.80880684926524,205.49947464366636,74.30933220559888,1688.2695958876575,302.6336822862582,838.229,888.33765,15,10
2026-03-14 05:05:25.378099,510491f0-2603-4e87-808b-8dd51aca3a2d,BTCUSDT,Buy,70528.3,70600.0,0.001,0.0,0.102,misto,medio,71161.72,70053.06,neutral,0.0,0.6842225452167449,71896.49362434812,71607.81955723176,71221.5813195267,67.33064220498575,219.66276807160466,148.22051912694968,71.44224894465498,1299.3962419518502,316.7617278051665,453.963,847.48475,15,25
2026-03-14 06:32:33.200933,8933356f-4ace-4f6a-ae56-304ef80272c6,BTCUSDT,Buy,70635.8,70550.4,0.001,-0.16,-0.121,misto,medio,71118.44,70273.82,neutral,0.0,0.6941467206346791,71629.82765245106,71377.44249784382,71089.14876091185,59.22838671896261,209.9549694803718,186.05116605775075,23.903803422621053,1647.9983398046752,241.3182810877301,472.121,606.3576,16,40
2026-03-14 12:30:54.493796,e5e4a410-cb2f-44cc-b024-f007873e98fc,BTCUSDT,Sell,70623.3,70550.1,0.001,0.0,0.104,misto,alto,70398.76,70791.7,neutral,0.0,0.8576253513978612,70787.06460473598,70804.13954985037,70786.11534973023,39.04142656333713,-15.19514818918833,1.0271706041214896,-16.22231879330982,247.42625486970064,112.26892643733584,287.42,136.08700000000002,22,40
2026-03-14 13:04:30.075684,7bdeb21b-2957-4a8e-9cc2-35491b1b9253,BTCUSDT,Buy,70530.8,70450.0,0.001,-0.15,-0.115,misto,medio,70761.42,70357.84,neutral,0.0,0.6935168786309223,70822.7774107402,70819.4410748505,70784.25575725405,53.645148096834056,26.99044105131179,16.438237102188303,10.552203949123488,475.93642054277007,115.30806231734569,454.694,147.151,23,25
2026-03-14 14:34:46.644707,ddbf2056-e84a-4e5b-b565-8b6616206216,BTCUSDT,Sell,70677.9,70597.7,0.001,0.01,0.114,misto,alto,70454.89,70845.16,neutral,0.0,0.7693126231901946,70752.6769578112,70820.76094001933,70774.1272404759,35.28973536516756,-59.55201467972074,-54.55913368129367,-4.992880998427069,274.25934806343867,111.50509248782502,124.085,151.138,0,55
2026-03-14 14:51:54.706713,4475a12a-fbdd-43b0-9806-0f3109d91680,BTCUSDT,Sell,70620.0,70543.1,0.001,0.01,0.109,misto,alto,70395.19,70788.61,neutral,0.0,0.7417242457951436,70779.72843064507,70838.96280675643,70776.54725935694,35.86593235837165,-56.873814527949435,-53.3504112808756,-3.523403247073837,229.9502720159071,112.40663704599176,80.651,143.91694999999999,1,10
2026-03-14 16:48:43.689108,,BTCUSDT,Sell,70621.4,70694.1,0.001,-0.14,-0.103,misto,desconhecido,,,,,,,,,,,,,,,,,,
2026-03-14 17:38:51.538692,1f1cd5e3-3177-413d-9952-0b5fd630ffab,BTCUSDT,Buy,70648.8,70722.1,0.001,0.0,0.104,misto,alto,70854.14,70494.79,"('bearish', -0.42)",0.0,0.6193516891579247,71070.92261747317,70938.23447959281,70751.0830145568,55.895625170502356,48.39710841039778,72.72528663569648,-24.3281782252987,292.6972333325539,102.67138914605013,107.858,111.25550000000001,3,40
2026-03-14 18:00:03.684990,2f2d90f3-956b-47ef-a0ff-ecc074c5afa5,BTCUSDT,Buy,70794.4,70723.5,0.001,-0.14,-0.1,misto,alto,71024.86,70628.73,"('bearish', -0.42)",0.0,0.7070267347293469,71063.83588192271,70899.49777558754,70727.36974774113,61.414906241841756,93.68532696973125,106.1141454739131,-12.428818504181848,372.4207598917128,113.18168937449704,95.57,112.9888,4,10
2026-03-14 18:40:53.909561,f4bc855b-67a1-4171-9645-cf81d634fb0e,BTCUSDT,Buy,70612.1,70684.9,0.001,0.0,0.103,misto,medio,70854.53,70430.1,"('bearish', -0.42)",0.0,0.769635606405923,70995.90157182918,70831.72326368486,70696.75595462501,72.17301740616452,120.02128601784352,108.48105175232445,11.540234265519075,438.84992377841263,121.26699065420406,88.455,101.30239999999999,4,40
2026-03-15 12:31:49.201252,f0dc8907-8215-4279-95ca-27b3d496c226,BTCUSDT,Sell,71397.1,71470.3,0.001,-0.14,-0.102,misto,medio,71129.57,71619.63,"('bearish', -0.36)",0.0,0.659121181746098,70979.9527532748,71079.19463645387,71316.49725696631,27.319994406910936,-59.79045024632069,-27.004059398809574,-32.786390847511115,468.40566350196605,140.01691461366738,41.339,170.18779999999998,22,55
2026-03-15 13:05:14.000561,6f78d653-4a59-45ea-8a70-71b6caa86ac5,BTCUSDT,Sell,71454.6,71526.7,0.001,-0.14,-0.101,misto,medio,71226.01,71626.04,"('bearish', -0.36)",0.0,0.9018678829859441,71035.91713824468,71111.48495752276,71334.36216932887,43.15124041144676,-23.296420083876,-11.356546271426035,-11.939873812449965,300.9575810637616,114.29276358273908,162.924,124.15169999999998,23,10
2026-03-15 13:38:39.460626,bad9910a-9c05-40c6-8a5b-d4834c13e901,BTCUSDT,Buy,71360.8,71438.5,0.001,0.01,0.109,misto,alto,71593.94,71187.87,"('bearish', -0.36)",0.0,0.6333027947452594,71044.9026924908,71141.24425046805,71367.0120998546,61.359713137786116,-9.505143845177372,-40.63154007707588,31.12639623189851,293.58938604735886,116.01841826726984,139.803,86.39779999999999,23,55
2026-03-18 17:15:01.634120,b3882730-dfd8-4aeb-a8f4-ea60ed7e06db,BTCUSDT,Buy,70694.7,70694.8,0.001,-0.07,0.0,misto,alto,70689.7,70469.5,bearish,-0.34,0.8366367909998216,74307.78401390645,74136.27331880011,73436.96366773828,71.40388881112933,103.14648589091667,92.92296751869078,10.223518372225882,466.9775065193244,100.11531051274471,244.881,121.35290000000002,3,35
2026-03-18 19:45:02.351661,2ad7d6c5-aa23-4a87-8efc-5e1625a74784,BTCUSDT,Buy,71028.9,71028.8,0.001,-0.07,-0.0,misto,alto,71373.1,71131.1,bearish,-0.34,0.8856670408476431,74161.38905935593,74027.23075189546,73311.24664906098,69.38132940182598,73.1489278494264,59.08819216638871,14.060735683037692,506.4964501321083,110.02655774400124,134.226,122.3617,4,15
2026-03-18 21:40:02.162076,4814f532-45a6-48ee-8222-7813c9c992a5,BTCUSDT,Sell,71070.0,71069.9,0.001,-0.07,0.0,misto,alto,71083.3,71349.3,bearish,-0.34,0.846067583056313,73880.75248783379,73721.36117010163,72746.16690210521,44.01158074273034,-50.79811377414444,-13.670227515926737,-37.1278862582177,491.5104377293901,120.89302994509116,229.08,146.6915,7,25
2026-03-19 18:50:05.295686,02ac0b8d-247a-431e-8754-2a5f7114ff76,BTCUSDT,Buy,70361.2,70361.1,0.001,-0.07,-0.0,misto,alto,70706.9,70397.1,bearish,-0.4,0.9058622289430731,70717.42363972186,70503.60445331891,70121.84985670615,59.32150803683282,100.9334916814696,120.81452090169131,-19.881029220221706,211.57845920612453,140.83734843517462,79.419,110.39244999999998,4,50
2026-03-19 23:10:05.348366,ec32bee3-92b5-47f8-b015-7bb2b92cdf20,BTCUSDT,Buy,70359.1,70359.1,0.001,-0.07,0.0,misto,alto,70231.4,69772.1,bearish,-0.4,0.8434432567808807,70471.09268277607,70258.48934275658,69995.79474487109,69.57279425916406,195.0434593562386,138.36371868291536,56.67974067332324,1537.8944924794487,208.78555180513393,76.904,585.3778,6,10
2026-04-19 22:00:06.148956,b453ed21-a470-40bd-906f-e2537f23a332,BTCUSDT,Sell,74220.5,74256.0,0.001,-0.11,-0.048,misto,medio,74066.8,73875.2,neutral,0.06,0.8282598492794342,75384.4277322027,75298.93400601263,75291.18939544732,71.64212800529623,92.44345427531516,74.54351117297901,17.899943102336152,471.186917900719,95.79277330286143,31.077,148.30455,5,40
2026-05-29 15:55:05.936472,,BTCUSDT,Sell,73293.9,73298.0,0.001,-0.08,-0.006,misto,desconhecido,,,,,,,,,,,,,,,,,,
2026-05-29 16:55:24.087537,e1d00572-2c9b-4d17-976d-f641d5f3e5bb,BTCUSDT,Sell,73566.6,73583.2,0.001,-0.09,-0.023,misto,alto,73252.0,73577.2,bearish,-0.32,0.3084620765463952,73711.74229585701,73729.09631198544,73584.36463200276,23.859152079328368,-131.25526428462763,-61.70966665410041,-69.54559763052723,0.015516069553953151,147.84285714285943,107.845,393.31165,0,29
2026-05-29 18:55:05.536152,5585f89a-497e-4a81-89a2-6524f9ca0fbf,BTCUSDT,Sell,73389.7,73389.7,0.001,-0.07,0.0,misto,alto,73391.8,73579.9,bearish,-0.32,0.33986501473351177,73636.6839724531,73650.63132862339,73580.23804907757,40.93998553868362,-4.16924455089611,2.062022241160826,-6.231266792056936,0.003921112497249064,85.49999999999793,125.184,103.96135,0,29
